"","X","Unit","Date","ID","Year","Month","Individual","INJ","TA","takeover.date","time.since.takeover","Sex","DOB","Age","AgeCat","T.State.Date","T.State","I.State.Date","I.State","to_yn","next.takeover","time.to.takeover"
"953"," 506","B","2010-10-01","BRY","2010","10","Bryonny",0,"FALSE","8/1/09"," 60.857143","FALSE","1988-12-26","21.748290","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",130.428571428571
"954"," 514","B","2010-11-01","BRY","2010","11","Bryonny",0,"FALSE","8/1/09"," 65.285714","FALSE","1988-12-26","21.833105","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",126
"955"," 526","B","2010-12-01","BRY","2010","12","Bryonny",0,"FALSE","8/1/09"," 69.571429","FALSE","1988-12-26","21.915185","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",121.714285714286
"956"," 533","B","2011-05-01","BRY","2011"," 5","Bryonny",0,"FALSE","8/1/09"," 91.142857","FALSE","1988-12-26","22.328317","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",100.142857142857
"957"," 549","B","2011-06-01","BRY","2011"," 6","Bryonny",0,"FALSE","8/1/09"," 95.571429","FALSE","1988-12-26","22.413133","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",95.7142857142857
"958"," 562","B","2011-07-01","BRY","2011"," 7","Bryonny",0,"FALSE","8/1/09"," 99.857143","FALSE","1988-12-26","22.495212","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",91.4285714285714
"959"," 573","B","2011-08-01","BRY","2011"," 8","Bryonny",0,"FALSE","8/1/09","104.285714","FALSE","1988-12-26","22.580027","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",87
"960"," 580","B","2011-09-01","BRY","2011"," 9","Bryonny",0,"FALSE","8/1/09","108.714286","FALSE","1988-12-26","22.664843","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",82.5714285714286
"961"," 590","B","2011-10-01","BRY","2011","10","Bryonny",0,"FALSE","8/1/09","113.000000","FALSE","1988-12-26","22.746922","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",78.2857142857143
"962"," 598","B","2011-11-01","BRY","2011","11","Bryonny",0,"FALSE","8/1/09","117.428571","FALSE","1988-12-26","22.831737","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",73.8571428571429
"963"," 617","B","2011-12-01","BRY","2011","12","Bryonny",0,"FALSE","8/1/09","121.714286","FALSE","1988-12-26","22.913817","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",69.5714285714286
"964"," 619","B","2012-01-01","BRY","2012"," 1","Bryonny",0,"FALSE","8/1/09","126.142857","FALSE","1988-12-26","22.998632","A","5/9/08","Cycling","5/11/10","Lactating","N","2013-04-01",65.1428571428571
"965"," 640","B","2013-06-01","BRY","2013"," 6","Bryonny",0,"FALSE","4/1/13","  8.714286","FALSE","1988-12-26","24.413133","A","10/12/12","Lactating","10/12/12","Lactating","Y",NA,NA
"966"," 656","B","2013-07-01","BRY","2013"," 7","Bryonny",0,"FALSE","4/1/13"," 13.000000","FALSE","1988-12-26","24.495212","A","10/12/12","Lactating","10/12/12","Lactating","Y",NA,NA
"967"," 671","B","2013-08-01","BRY","2013"," 8","Bryonny",0,"FALSE","4/1/13"," 17.428571","FALSE","1988-12-26","24.580027","A","10/12/12","Lactating","10/12/12","Lactating","N",NA,NA
"968"," 686","B","2013-09-01","BRY","2013"," 9","Bryonny",0,"FALSE","4/1/13"," 21.857143","FALSE","1988-12-26","24.664843","A","10/12/12","Lactating","10/12/12","Lactating","N",NA,NA
"969"," 703","B","2013-10-01","BRY","2013","10","Bryonny",0,"FALSE","4/1/13"," 26.142857","FALSE","1988-12-26","24.746922","A","10/12/12","Lactating","10/12/12","Lactating","N",NA,NA
"970"," 706","B","2013-11-01","BRY","2013","11","Bryonny",0,"FALSE","4/1/13"," 30.571429","FALSE","1988-12-26","24.831737","A","10/12/12","Lactating","10/3/13","Cycling","N",NA,NA
"971"," 733","B","2013-12-01","BRY","2013","12","Bryonny",0,"FALSE","4/1/13"," 34.857143","FALSE","1988-12-26","24.913817","A","10/12/12","Lactating","10/3/13","Cycling","N",NA,NA
"972"," 637","B","2013-06-01","BUF","2013"," 6","Buffy",0,"FALSE","4/1/13","  8.714286","FALSE","2007-10-30"," 5.584131","A",NA,NA,"4/17/13","Cycling","Y","2016-01-01",134.857142857143
"973"," 651","B","2013-07-01","BUF","2013"," 7","Buffy",0,"FALSE","4/1/13"," 13.000000","FALSE","2007-10-30"," 5.666211","A",NA,NA,"4/17/13","Cycling","Y","2016-01-01",130.571428571429
"974"," 664","B","2013-08-01","BUF","2013"," 8","Buffy",0,"FALSE","4/1/13"," 17.428571","FALSE","2007-10-30"," 5.751026","A",NA,NA,"4/17/13","Cycling","N","2016-01-01",126.142857142857
"975"," 681","B","2013-09-01","BUF","2013"," 9","Buffy",0,"FALSE","4/1/13"," 21.857143","FALSE","2007-10-30"," 5.835841","A",NA,NA,"4/17/13","Cycling","N","2016-01-01",121.714285714286
"976"," 693","B","2013-10-01","BUF","2013","10","Buffy",0,"FALSE","4/1/13"," 26.142857","FALSE","2007-10-30"," 5.917921","A",NA,NA,"4/17/13","Cycling","N","2016-01-01",117.428571428571
"977"," 718","B","2013-11-01","BUF","2013","11","Buffy",0,"FALSE","4/1/13"," 30.571429","FALSE","2007-10-30"," 6.002736","A",NA,NA,"4/17/13","Cycling","N","2016-01-01",113
"978"," 725","B","2013-12-01","BUF","2013","12","Buffy",0,"FALSE","4/1/13"," 34.857143","FALSE","2007-10-30"," 6.084815","A",NA,NA,"4/17/13","Cycling","N","2016-01-01",108.714285714286
"979"," 739","B","2014-01-01","BUF","2014"," 1","Buffy",0,"FALSE","4/1/13"," 39.285714","FALSE","2007-10-30"," 6.169631","A",NA,NA,"4/17/13","Cycling","N","2016-01-01",104.285714285714
"980"," 757","B","2014-03-01","BUF","2014"," 3","Buffy",0,"FALSE","4/1/13"," 47.714286","FALSE","2007-10-30"," 6.331053","A",NA,NA,"1/11/14","Pregnant","N","2016-01-01",95.8571428571429
"981"," 777","B","2014-04-01","BUF","2014"," 4","Buffy",0,"FALSE","4/1/13"," 52.142857","FALSE","2007-10-30"," 6.415869","A",NA,NA,"1/11/14","Pregnant","N","2016-01-01",91.4285714285714
"982"," 782","B","2014-07-01","BUF","2014"," 7","Buffy",0,"FALSE","4/1/13"," 65.142857","FALSE","2007-10-30"," 6.664843","A",NA,NA,"1/11/14","Pregnant","N","2016-01-01",78.4285714285714
"983"," 797","B","2014-08-01","BUF","2014"," 8","Buffy",0,"FALSE","4/1/13"," 69.571429","FALSE","2007-10-30"," 6.749658","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",74
"984"," 805","B","2014-09-01","BUF","2014"," 9","Buffy",0,"FALSE","4/1/13"," 74.000000","FALSE","2007-10-30"," 6.834473","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",69.5714285714286
"985"," 818","B","2014-10-01","BUF","2014","10","Buffy",0,"FALSE","4/1/13"," 78.285714","FALSE","2007-10-30"," 6.916553","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",65.2857142857143
"986"," 835","B","2014-11-01","BUF","2014","11","Buffy",0,"FALSE","4/1/13"," 82.714286","FALSE","2007-10-30"," 7.001368","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",60.8571428571429
"987"," 849","B","2014-12-01","BUF","2014","12","Buffy",0,"FALSE","4/1/13"," 87.000000","FALSE","2007-10-30"," 7.083447","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",56.5714285714286
"988"," 866","B","2015-02-01","BUF","2015"," 2","Buffy",0,"FALSE","4/1/13"," 95.857143","FALSE","2007-10-30"," 7.253078","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",47.7142857142857
"989"," 871","B","2015-03-01","BUF","2015"," 3","Buffy",0,"FALSE","4/1/13"," 99.857143","FALSE","2007-10-30"," 7.329685","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",43.7142857142857
"990"," 887","B","2015-10-01","BUF","2015","10","Buffy",0,"FALSE","4/1/13","130.428571","FALSE","2007-10-30"," 7.915185","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",13.1428571428571
"991"," 901","B","2015-11-01","BUF","2015","11","Buffy",0,"FALSE","4/1/13","134.857143","FALSE","2007-10-30"," 8.000000","A",NA,NA,"7/13/14","Lactating","N","2016-01-01",8.71428571428571
"992"," 922","B","2016-02-01","BUF","2016"," 2","Buffy",0,"FALSE","1/1/16","  4.428571","FALSE","2007-10-30"," 8.251710","A","12/1/15","Cycling","12/1/15","Cycling","Y",NA,NA
"993"," 930","B","2016-03-01","BUF","2016"," 3","Buffy",0,"FALSE","1/1/16","  8.571429","FALSE","2007-10-30"," 8.331053","A","12/1/15","Cycling","12/1/15","Cycling","Y",NA,NA
"994"," 944","B","2016-04-01","BUF","2016"," 4","Buffy",0,"FALSE","1/1/16"," 13.000000","FALSE","2007-10-30"," 8.415869","A","12/1/15","Cycling","12/1/15","Cycling","Y",NA,NA
"1000"," 391","B","2009-08-01","BUN","2009"," 8","Buna",0,"FALSE","8/1/09","  0.000000","FALSE","1998-12-01","10.659371","A","8/14/08","Cycling","8/14/08","Cycling","Y","2013-04-01",191.285714285714
"1001"," 406","B","2009-09-01","BUN","2009"," 9","Buna",0,"FALSE","8/1/09","  4.428571","FALSE","1998-12-01","10.744186","A","8/14/08","Cycling","8/14/08","Cycling","Y","2013-04-01",186.857142857143
"1002"," 413","B","2009-10-01","BUN","2009","10","Buna",0,"FALSE","8/1/09","  8.714286","FALSE","1998-12-01","10.826265","A","8/14/08","Cycling","8/14/08","Cycling","Y","2013-04-01",182.571428571429
"1003"," 422","B","2009-11-01","BUN","2009","11","Buna",0,"FALSE","8/1/09"," 13.142857","FALSE","1998-12-01","10.911081","A","8/14/08","Cycling","8/14/08","Cycling","N","2013-04-01",178.142857142857
"1004"," 431","B","2010-02-01","BUN","2010"," 2","Buna",0,"FALSE","8/1/09"," 26.285714","FALSE","1998-12-01","11.162791","A","8/14/08","Cycling","8/14/08","Cycling","N","2013-04-01",165
"1005"," 441","B","2010-04-01","BUN","2010"," 4","Buna",0,"FALSE","8/1/09"," 34.714286","FALSE","1998-12-01","11.324213","A","8/14/08","Cycling","2/14/10","Pregnant","N","2013-04-01",156.571428571429
"1006"," 459","B","2010-05-01","BUN","2010"," 5","Buna",0,"FALSE","8/1/09"," 39.000000","FALSE","1998-12-01","11.406293","A","8/14/08","Cycling","2/14/10","Pregnant","N","2013-04-01",152.285714285714
"1007"," 466","B","2010-06-01","BUN","2010"," 6","Buna",0,"FALSE","8/1/09"," 43.428571","FALSE","1998-12-01","11.491108","A","8/14/08","Cycling","2/14/10","Pregnant","N","2013-04-01",147.857142857143
"1008"," 475","B","2010-07-01","BUN","2010"," 7","Buna",0,"FALSE","8/1/09"," 47.714286","FALSE","1998-12-01","11.573187","A","8/14/08","Cycling","2/14/10","Pregnant","N","2013-04-01",143.571428571429
"1009"," 483","B","2010-08-01","BUN","2010"," 8","Buna",0,"FALSE","8/1/09"," 52.142857","FALSE","1998-12-01","11.658003","A","8/14/08","Cycling","2/14/10","Pregnant","N","2013-04-01",139.142857142857
"1010"," 496","B","2010-09-01","BUN","2010"," 9","Buna",0,"FALSE","8/1/09"," 56.571429","FALSE","1998-12-01","11.742818","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",134.714285714286
"1011"," 505","B","2010-10-01","BUN","2010","10","Buna",0,"FALSE","8/1/09"," 60.857143","FALSE","1998-12-01","11.824897","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",130.428571428571
"1012"," 522","B","2010-11-01","BUN","2010","11","Buna",0,"FALSE","8/1/09"," 65.285714","FALSE","1998-12-01","11.909713","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",126
"1013"," 524","B","2010-12-01","BUN","2010","12","Buna",0,"FALSE","8/1/09"," 69.571429","FALSE","1998-12-01","11.991792","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",121.714285714286
"1014"," 541","B","2011-05-01","BUN","2011"," 5","Buna",0,"FALSE","8/1/09"," 91.142857","FALSE","1998-12-01","12.404925","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",100.142857142857
"1015"," 546","B","2011-06-01","BUN","2011"," 6","Buna",0,"FALSE","8/1/09"," 95.571429","FALSE","1998-12-01","12.489740","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",95.7142857142857
"1016"," 563","B","2011-07-01","BUN","2011"," 7","Buna",0,"FALSE","8/1/09"," 99.857143","FALSE","1998-12-01","12.571819","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",91.4285714285714
"1017"," 564","B","2011-08-01","BUN","2011"," 8","Buna",0,"FALSE","8/1/09","104.285714","FALSE","1998-12-01","12.656635","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",87
"1018"," 575","B","2011-09-01","BUN","2011"," 9","Buna",0,"FALSE","8/1/09","108.714286","FALSE","1998-12-01","12.741450","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",82.5714285714286
"1019"," 593","B","2011-10-01","BUN","2011","10","Buna",0,"FALSE","8/1/09","113.000000","FALSE","1998-12-01","12.823529","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",78.2857142857143
"1020"," 604","B","2011-11-01","BUN","2011","11","Buna",0,"FALSE","8/1/09","117.428571","FALSE","1998-12-01","12.908345","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",73.8571428571429
"1021"," 608","B","2011-12-01","BUN","2011","12","Buna",0,"FALSE","8/1/09","121.714286","FALSE","1998-12-01","12.990424","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",69.5714285714286
"1022"," 624","B","2012-01-01","BUN","2012"," 1","Buna",0,"FALSE","8/1/09","126.142857","FALSE","1998-12-01","13.075239","A","8/14/08","Cycling","8/16/10","Lactating","N","2013-04-01",65.1428571428571
"1023"," 653","B","2013-07-01","BUN","2013"," 7","Buna",0,"FALSE","4/1/13"," 13.000000","FALSE","1998-12-01","14.571819","A","8/16/10","Lactating","8/16/10","Lactating","Y","2016-01-01",130.571428571429
"1024"," 663","B","2013-08-01","BUN","2013"," 8","Buna",0,"FALSE","4/1/13"," 17.428571","FALSE","1998-12-01","14.656635","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",126.142857142857
"1025"," 678","B","2013-09-01","BUN","2013"," 9","Buna",0,"FALSE","4/1/13"," 21.857143","FALSE","1998-12-01","14.741450","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",121.714285714286
"1026"," 696","B","2013-10-01","BUN","2013","10","Buna",0,"FALSE","4/1/13"," 26.142857","FALSE","1998-12-01","14.823529","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",117.428571428571
"1027"," 720","B","2013-11-01","BUN","2013","11","Buna",0,"FALSE","4/1/13"," 30.571429","FALSE","1998-12-01","14.908345","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",113
"1028"," 735","B","2013-12-01","BUN","2013","12","Buna",0,"FALSE","4/1/13"," 34.857143","FALSE","1998-12-01","14.990424","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",108.714285714286
"1029"," 744","B","2014-01-01","BUN","2014"," 1","Buna",0,"FALSE","4/1/13"," 39.285714","FALSE","1998-12-01","15.075239","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",104.285714285714
"1030"," 756","B","2014-03-01","BUN","2014"," 3","Buna",0,"FALSE","4/1/13"," 47.714286","FALSE","1998-12-01","15.236662","A","8/16/10","Lactating","8/16/10","Lactating","N","2016-01-01",95.8571428571429
"1031"," 772","B","2014-04-01","BUN","2014"," 4","Buna",0,"FALSE","4/1/13"," 52.142857","FALSE","1998-12-01","15.321477","A","8/16/10","Lactating","3/18/14","Pregnant","N","2016-01-01",91.4285714285714
"1032"," 781","B","2014-07-01","BUN","2014"," 7","Buna",0,"FALSE","4/1/13"," 65.142857","FALSE","1998-12-01","15.570451","A","8/16/10","Lactating","3/18/14","Pregnant","N","2016-01-01",78.4285714285714
"1033"," 795","B","2014-08-01","BUN","2014"," 8","Buna",0,"FALSE","4/1/13"," 69.571429","FALSE","1998-12-01","15.655267","A","8/16/10","Lactating","3/18/14","Pregnant","N","2016-01-01",74
"1034"," 804","B","2014-09-01","BUN","2014"," 9","Buna",0,"FALSE","4/1/13"," 74.000000","FALSE","1998-12-01","15.740082","A","8/16/10","Lactating","3/18/14","Pregnant","N","2016-01-01",69.5714285714286
"1035"," 826","B","2014-10-01","BUN","2014","10","Buna",0,"FALSE","4/1/13"," 78.285714","FALSE","1998-12-01","15.822161","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",65.2857142857143
"1036"," 831","B","2014-11-01","BUN","2014","11","Buna",0,"FALSE","4/1/13"," 82.714286","FALSE","1998-12-01","15.906977","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",60.8571428571429
"1037"," 852","B","2014-12-01","BUN","2014","12","Buna",0,"FALSE","4/1/13"," 87.000000","FALSE","1998-12-01","15.989056","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",56.5714285714286
"1038"," 860","B","2015-02-01","BUN","2015"," 2","Buna",0,"FALSE","4/1/13"," 95.857143","FALSE","1998-12-01","16.158687","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",47.7142857142857
"1039"," 874","B","2015-03-01","BUN","2015"," 3","Buna",0,"FALSE","4/1/13"," 99.857143","FALSE","1998-12-01","16.235294","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",43.7142857142857
"1040"," 889","B","2015-10-01","BUN","2015","10","Buna",0,"FALSE","4/1/13","130.428571","FALSE","1998-12-01","16.820793","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",13.1428571428571
"1041"," 899","B","2015-11-01","BUN","2015","11","Buna",0,"FALSE","4/1/13","134.857143","FALSE","1998-12-01","16.905609","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",8.71428571428571
"1042"," 904","B","2016-01-01","BUN","2016"," 1","Buna",0,"FALSE","4/1/13","143.571429","FALSE","1998-12-01","17.072503","A","8/16/10","Lactating","9/14/14","Lactating","N","2016-01-01",0
"1043"," 914","B","2016-02-01","BUN","2016"," 2","Buna",0,"FALSE","1/1/16","  4.428571","FALSE","1998-12-01","17.157319","A","9/14/14","Lactating","9/14/14","Lactating","Y",NA,NA
"1044"," 925","B","2016-03-01","BUN","2016"," 3","Buna",0,"FALSE","1/1/16","  8.571429","FALSE","1998-12-01","17.236662","A","9/14/14","Lactating","9/14/14","Lactating","Y",NA,NA
"1045"," 936","B","2016-04-01","BUN","2016"," 4","Buna",0,"FALSE","1/1/16"," 13.000000","FALSE","1998-12-01","17.321477","A","9/14/14","Lactating","9/14/14","Lactating","Y",NA,NA
"1049"," 969","B1","2016-02-01","BYO","2016"," 2","Byork",0,"FALSE","1/1/16","  4.428571","FALSE","2010-07-16"," 5.543092","A","4/14/15","Cycling","4/14/15","Cycling","Y",NA,NA
"1050"," 974","B1","2016-03-01","BYO","2016"," 3","Byork",0,"FALSE","1/1/16","  8.571429","FALSE","2010-07-16"," 5.622435","A","4/14/15","Cycling","4/14/15","Cycling","Y",NA,NA
"1051"," 977","B1","2016-04-01","BYO","2016"," 4","Byork",0,"FALSE","1/1/16"," 13.000000","FALSE","2010-07-16"," 5.707250","A","4/14/15","Cycling","4/14/15","Cycling","Y",NA,NA
"1052"," 993","B1","2017-08-01","BYO","2017"," 8","Byork",0,"FALSE","1/1/16"," 82.571429","FALSE","2010-07-16"," 7.039672","A","4/14/15","Cycling","1/17/17","Lactating","N",NA,NA
"1053"," 999","C","2008-02-01","CAK","2008"," 2","Cake",0,"FALSE","2/1/08","  0.000000","FALSE","2002-09-19"," 5.365253","A","5/3/07","Cycling","5/3/07","Cycling","Y","2011-02-01",156.571428571429
"1054","1006","C","2008-03-01","CAK","2008"," 3","Cake",0,"FALSE","2/1/08","  4.142857","FALSE","2002-09-19"," 5.444596","A","5/3/07","Cycling","5/3/07","Cycling","Y","2011-02-01",152.428571428571
"1055","1016","C","2008-04-01","CAK","2008"," 4","Cake",0,"FALSE","2/1/08","  8.571429","FALSE","2002-09-19"," 5.529412","A","5/3/07","Cycling","5/3/07","Cycling","Y","2011-02-01",148
"1056","1024","C","2008-05-01","CAK","2008"," 5","Cake",0,"FALSE","2/1/08"," 12.857143","FALSE","2002-09-19"," 5.611491","A","5/3/07","Cycling","5/3/07","Cycling","Y","2011-02-01",143.714285714286
"1057","1032","C","2008-06-01","CAK","2008"," 6","Cake",0,"FALSE","2/1/08"," 17.285714","FALSE","2002-09-19"," 5.696306","A","5/3/07","Cycling","5/3/07","Cycling","N","2011-02-01",139.285714285714
"1058","1049","C","2008-07-01","CAK","2008"," 7","Cake",0,"FALSE","2/1/08"," 21.571429","FALSE","2002-09-19"," 5.778386","A","5/3/07","Cycling","5/3/07","Cycling","N","2011-02-01",135
"1059","1058","C","2008-08-01","CAK","2008"," 8","Cake",0,"FALSE","2/1/08"," 26.000000","FALSE","2002-09-19"," 5.863201","A","5/3/07","Cycling","5/3/07","Cycling","N","2011-02-01",130.571428571429
"1060","1060","C","2008-09-01","CAK","2008"," 9","Cake",0,"FALSE","2/1/08"," 30.428571","FALSE","2002-09-19"," 5.948016","A","5/3/07","Cycling","5/3/07","Cycling","N","2011-02-01",126.142857142857
"1061","1073","C","2008-10-01","CAK","2008","10","Cake",0,"FALSE","2/1/08"," 34.714286","FALSE","2002-09-19"," 6.030096","A","5/3/07","Cycling","5/3/07","Cycling","N","2011-02-01",121.857142857143
"1062","1077","C","2008-11-01","CAK","2008","11","Cake",0,"FALSE","2/1/08"," 39.142857","FALSE","2002-09-19"," 6.114911","A","5/3/07","Cycling","10/10/08","Pregnant","N","2011-02-01",117.428571428571
"1063","1087","C","2008-12-01","CAK","2008","12","Cake",0,"FALSE","2/1/08"," 43.428571","FALSE","2002-09-19"," 6.196990","A","5/3/07","Cycling","10/10/08","Pregnant","N","2011-02-01",113.142857142857
"1064","1095","C","2009-01-01","CAK","2009"," 1","Cake",0,"FALSE","2/1/08"," 47.857143","FALSE","2002-09-19"," 6.281806","A","5/3/07","Cycling","10/10/08","Pregnant","N","2011-02-01",108.714285714286
"1065","1108","C","2009-02-01","CAK","2009"," 2","Cake",0,"FALSE","2/1/08"," 52.285714","FALSE","2002-09-19"," 6.366621","A","5/3/07","Cycling","10/10/08","Pregnant","N","2011-02-01",104.285714285714
"1066","1113","C","2009-03-01","CAK","2009"," 3","Cake",0,"FALSE","2/1/08"," 56.285714","FALSE","2002-09-19"," 6.443228","A","5/3/07","Cycling","10/10/08","Pregnant","N","2011-02-01",100.285714285714
"1067","1126","C","2009-04-01","CAK","2009"," 4","Cake",0,"FALSE","2/1/08"," 60.714286","FALSE","2002-09-19"," 6.528044","A","5/3/07","Cycling","10/10/08","Pregnant","N","2011-02-01",95.8571428571429
"1068","1138","C","2009-05-01","CAK","2009"," 5","Cake",0,"FALSE","2/1/08"," 65.000000","FALSE","2002-09-19"," 6.610123","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",91.5714285714286
"1069","1150","C","2009-06-01","CAK","2009"," 6","Cake",0,"FALSE","2/1/08"," 69.428571","FALSE","2002-09-19"," 6.694938","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",87.1428571428571
"1070","1158","C","2009-07-01","CAK","2009"," 7","Cake",0,"FALSE","2/1/08"," 73.714286","FALSE","2002-09-19"," 6.777018","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",82.8571428571429
"1071","1168","C","2009-08-01","CAK","2009"," 8","Cake",0,"FALSE","2/1/08"," 78.142857","FALSE","2002-09-19"," 6.861833","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",78.4285714285714
"1072","1175","C","2009-09-01","CAK","2009"," 9","Cake",0,"FALSE","2/1/08"," 82.571429","FALSE","2002-09-19"," 6.946648","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",74
"1073","1183","C","2009-10-01","CAK","2009","10","Cake",0,"FALSE","2/1/08"," 86.857143","FALSE","2002-09-19"," 7.028728","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",69.7142857142857
"1074","1187","C","2009-11-01","CAK","2009","11","Cake",0,"FALSE","2/1/08"," 91.285714","FALSE","2002-09-19"," 7.113543","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",65.2857142857143
"1075","1207","C","2009-12-01","CAK","2009","12","Cake",0,"FALSE","2/1/08"," 95.571429","FALSE","2002-09-19"," 7.195622","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",61
"1076","1216","C","2010-01-01","CAK","2010"," 1","Cake",0,"FALSE","2/1/08","100.000000","FALSE","2002-09-19"," 7.280438","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",56.5714285714286
"1077","1227","C","2010-02-01","CAK","2010"," 2","Cake",0,"FALSE","2/1/08","104.428571","FALSE","2002-09-19"," 7.365253","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",52.1428571428571
"1078","1237","C","2010-03-01","CAK","2010"," 3","Cake",0,"FALSE","2/1/08","108.428571","FALSE","2002-09-19"," 7.441860","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",48.1428571428571
"1079","1244","C","2010-04-01","CAK","2010"," 4","Cake",0,"FALSE","2/1/08","112.857143","FALSE","2002-09-19"," 7.526676","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",43.7142857142857
"1080","1261","C","2010-05-01","CAK","2010"," 5","Cake",0,"FALSE","2/1/08","117.142857","FALSE","2002-09-19"," 7.608755","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",39.4285714285714
"1081","1271","C","2010-06-01","CAK","2010"," 6","Cake",0,"FALSE","2/1/08","121.571429","FALSE","2002-09-19"," 7.693570","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",35
"1082","1281","C","2010-07-01","CAK","2010"," 7","Cake",0,"FALSE","2/1/08","125.857143","FALSE","2002-09-19"," 7.775650","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",30.7142857142857
"1083","1292","C","2010-08-01","CAK","2010"," 8","Cake",0,"FALSE","2/1/08","130.285714","FALSE","2002-09-19"," 7.860465","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",26.2857142857143
"1084","1304","C","2010-09-01","CAK","2010"," 9","Cake",0,"FALSE","2/1/08","134.714286","FALSE","2002-09-19"," 7.945280","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",21.8571428571429
"1085","1313","C","2010-10-01","CAK","2010","10","Cake",0,"FALSE","2/1/08","139.000000","FALSE","2002-09-19"," 8.027360","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",17.5714285714286
"1086","1327","C","2010-11-01","CAK","2010","11","Cake",0,"FALSE","2/1/08","143.428571","FALSE","2002-09-19"," 8.112175","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",13.1428571428571
"1087","1330","C","2010-12-01","CAK","2010","12","Cake",0,"FALSE","2/1/08","147.714286","FALSE","2002-09-19"," 8.194254","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",8.85714285714286
"1088","1339","C","2011-01-01","CAK","2011"," 1","Cake",0,"FALSE","2/1/08","152.142857","FALSE","2002-09-19"," 8.279070","A","5/3/07","Cycling","4/11/09","Lactating","N","2011-02-01",4.42857142857143
